,vertices,delta,runtime,deltafactor,seed
618,10000,1597,2,99,122
619,10000,923,2,97,123
620,10000,923,2,95,123
621,10000,1401,2,96,125
622,10000,1401,2,98,125
623,10000,923,2,99,123
624,10000,2030,2,97,124
625,10000,2030,2,95,124
626,10000,2664,2,96,126
627,10000,2664,2,98,126
628,10000,1401,2,97,125
629,10000,2030,2,99,124
630,10000,1401,2,95,125
631,10000,723,2,98,127
632,10000,723,3,96,127
633,10000,1401,2,99,125
634,10000,2664,3,97,126
635,10000,2664,2,95,126
636,10000,1508,2,98,128
637,10000,1508,2,96,128
638,10000,2664,2,99,126
639,10000,723,2,95,127
640,10000,723,3,97,127
641,10000,1755,2,98,129
642,10000,1755,2,96,129
643,10000,723,2,99,127
644,10000,1508,2,95,128
645,10000,1508,2,97,128
646,10000,3256,2,98,130
647,10000,3256,2,96,130
648,10000,1508,2,99,128
649,10000,1755,2,95,129
650,10000,1705,2,98,131
651,10000,1755,2,97,129
652,10000,1705,2,96,131
653,10000,1755,2,99,129
654,10000,3256,2,95,130
655,10000,1794,2,98,132
656,10000,3256,2,97,130
657,10000,1794,2,96,132
658,10000,3256,2,99,130
659,10000,1705,2,95,131
660,10000,1166,2,98,133
661,10000,1705,2,97,131
662,10000,1166,2,96,133
663,10000,1705,2,99,131
664,10000,1794,2,95,132
665,10000,2501,2,98,134
666,10000,1794,2,97,132
667,10000,2501,2,96,134
668,10000,1794,2,99,132
669,10000,1166,2,95,133
670,10000,4889,2,98,135
671,10000,4889,2,96,135
672,10000,1166,2,97,133
673,10000,1166,2,99,133
674,10000,2501,2,95,134
675,10000,706,2,96,136
676,10000,706,3,98,136
677,10000,2501,2,97,134
678,10000,2501,2,99,134
679,10000,4889,2,95,135
680,10000,881,2,96,137
681,10000,881,2,98,137
682,10000,4889,2,97,135
683,10000,4889,2,99,135
684,10000,706,3,95,136
685,10000,1390,2,96,138
686,10000,1390,2,98,138
687,10000,706,2,99,136
688,10000,706,3,97,136
689,10000,1770,2,96,139
690,10000,1770,2,98,139
691,10000,881,3,95,137
692,10000,881,2,99,137
693,10000,881,3,97,137
694,10000,1679,2,98,140
695,10000,1679,2,96,140
696,10000,1390,2,95,138
697,10000,1390,2,99,138
698,10000,1062,2,96,141
699,10000,1390,2,97,138
700,10000,1770,2,95,139
701,10000,1062,3,98,141
702,10000,1770,2,99,139
703,10000,6121,2,96,142
704,10000,1770,2,97,139
705,10000,1679,2,95,140
706,10000,6121,2,98,142
707,10000,1679,2,99,140
708,10000,1332,2,96,143
709,10000,1679,2,97,140
710,10000,1332,2,98,143
711,10000,1062,3,95,141
712,10000,1062,2,99,141
713,10000,1483,2,96,144
714,10000,1483,2,98,144
715,10000,6121,2,95,142
716,10000,1062,3,97,141
717,10000,6121,2,99,142
718,10000,1103,2,96,145
719,10000,1103,2,98,145
720,10000,1332,2,95,143
721,10000,6121,2,97,142
722,10000,1137,2,96,146
723,10000,1332,3,99,143
724,10000,1137,2,98,146
725,10000,1483,2,95,144
726,10000,1332,2,97,143
727,10000,1483,2,99,144
728,10000,1118,3,96,147
729,10000,1103,2,95,145
730,10000,1118,3,98,147
731,10000,1483,3,97,144
732,10000,1103,2,99,145
733,10000,1068,2,96,148
734,10000,1137,2,95,146
735,10000,1068,2,98,148
736,10000,1137,2,99,146
737,10000,1103,2,97,145
738,10000,1063,2,96,149
739,10000,1118,2,95,147
740,10000,1063,2,98,149
741,10000,1118,2,99,147
742,10000,1137,2,97,146
743,10000,1226,2,96,150
744,10000,1068,2,95,148
745,10000,1068,2,99,148
746,10000,1226,2,98,150
747,10000,1118,2,97,147
748,10000,978,2,96,151
749,10000,1063,3,95,149
750,10000,1063,2,99,149
751,10000,978,2,98,151
752,10000,1068,2,97,148
753,10000,5061,2,96,152
754,10000,1226,2,95,150
755,10000,5061,2,98,152
756,10000,1226,2,99,150
757,10000,1063,2,97,149
758,10000,1361,2,96,153
759,10000,1361,2,98,153
760,10000,1226,2,97,150
761,10000,978,2,99,151
762,10000,978,3,95,151
763,10000,1241,3,96,154
764,10000,978,2,97,151
765,10000,1241,2,98,154
766,10000,5061,2,95,152
767,10000,5061,2,99,152
768,10000,1184,3,96,155
769,10000,5061,2,97,152
770,10000,1184,2,98,155
771,10000,1361,2,99,153
772,10000,1361,2,95,153
773,10000,656,2,96,156
774,10000,656,2,98,156
775,10000,1241,2,99,154
776,10000,1361,3,97,153
777,10000,1241,3,95,154
778,10000,1124,2,96,157
779,10000,1124,2,98,157
780,10000,1184,2,99,155
781,10000,1241,3,97,154
782,10000,1184,3,95,155
783,10000,2347,2,98,158
784,10000,2347,2,96,158
785,10000,656,2,99,156
786,10000,1184,2,97,155
787,10000,656,3,95,156
788,10000,1837,2,98,159
789,10000,1837,2,96,159
790,10000,1124,2,99,157
791,10000,656,2,97,156
792,10000,1124,2,95,157
793,10000,931,2,96,160
794,10000,931,2,98,160
795,10000,2347,2,99,158
796,10000,1124,2,97,157
797,10000,2347,2,95,158
798,10000,2321,2,96,161
799,10000,2321,2,98,161
800,10000,1837,2,99,159
801,10000,2347,2,97,158
802,10000,1837,2,95,159
803,10000,1038,2,96,162
804,10000,931,2,99,160
805,10000,1038,3,98,162
806,10000,1837,2,97,159
807,10000,2085,2,96,163
808,10000,931,3,95,160
809,10000,2321,2,99,161
810,10000,2085,2,98,163
811,10000,931,2,97,160
812,10000,4860,2,96,164
813,10000,2321,2,95,161
814,10000,4860,2,98,164
815,10000,1038,3,99,162
816,10000,2321,2,97,161
817,10000,1325,2,96,165
818,10000,1038,2,95,162
819,10000,1325,2,98,165
820,10000,2085,2,99,163
821,10000,1038,2,97,162
822,10000,2085,2,95,163
823,10000,1262,3,96,166
824,10000,1262,2,98,166
825,10000,4860,2,99,164
826,10000,2085,2,97,163
827,10000,4860,2,95,164
828,10000,5129,2,96,167
829,10000,5129,2,98,167
830,10000,1325,2,99,165
831,10000,4860,2,97,164
832,10000,1325,2,95,165
833,10000,2281,2,96,168
834,10000,2281,2,98,168
835,10000,1262,2,99,166
836,10000,1262,2,95,166
837,10000,3135,2,96,169
838,10000,3135,2,98,169
839,10000,1325,3,97,165
840,10000,5129,2,99,167
841,10000,5129,2,95,167
842,10000,2370,2,96,170
843,10000,2370,2,98,170
844,10000,1262,2,97,166
845,10000,2281,2,99,168
846,10000,2281,2,95,168
847,10000,2965,2,96,171
848,10000,2965,2,98,171
849,10000,5129,2,97,167
850,10000,3135,2,99,169
851,10000,3135,2,95,169
852,10000,2291,2,96,172
853,10000,2291,2,98,172
854,10000,2281,2,97,168
855,10000,2370,2,99,170
856,10000,3707,2,96,173
857,10000,2370,2,95,170
858,10000,3707,2,98,173
859,10000,3135,2,97,169
860,10000,2965,2,99,171
861,10000,3235,2,96,174
862,10000,2965,2,95,171
863,10000,3235,2,98,174
864,10000,2370,2,97,170
865,10000,2291,2,99,172
866,10000,2694,2,96,175
867,10000,2291,2,95,172
868,10000,2694,2,98,175
869,10000,2965,2,97,171
870,10000,3707,2,99,173
871,10000,1802,2,96,176
872,10000,3707,2,95,173
873,10000,1802,2,98,176
874,10000,2291,2,97,172
875,10000,3235,2,99,174
876,10000,2913,2,96,177
877,10000,3235,2,95,174
878,10000,2913,2,98,177
879,10000,3707,2,97,173
880,10000,2694,2,99,175
881,10000,1483,2,96,178
882,10000,2694,2,95,175
883,10000,1483,2,98,178
884,10000,3235,2,97,174
885,10000,1802,2,99,176
886,10000,3294,2,96,179
887,10000,1802,2,95,176
888,10000,3294,2,98,179
889,10000,2694,2,97,175
890,10000,2913,2,99,177
891,10000,4451,2,96,180
892,10000,2913,2,95,177
893,10000,4451,2,98,180
894,10000,1802,2,97,176
895,10000,1483,2,99,178
896,10000,3573,2,96,181
897,10000,1483,2,95,178
898,10000,3573,2,98,181
899,10000,2913,2,97,177
900,10000,3294,2,99,179
901,10000,936,2,96,182
902,10000,3294,2,95,179
903,10000,936,2,98,182
904,10000,1483,2,97,178
905,10000,4451,2,99,180
906,10000,1653,2,96,183
907,10000,4451,2,95,180
908,10000,1653,2,98,183
909,10000,3294,2,97,179
910,10000,1498,2,96,184
911,10000,3573,2,99,181
912,10000,3573,2,95,181
913,10000,4451,2,97,180
914,10000,1498,2,98,184
915,10000,3411,2,96,185
916,10000,936,2,99,182
917,10000,936,2,95,182
918,10000,3411,2,98,185
919,10000,1915,2,96,186
920,10000,1653,2,99,183
921,10000,3573,3,97,181
922,10000,1653,2,95,183
923,10000,1915,2,98,186
924,10000,1866,2,96,187
925,10000,1498,2,99,184
926,10000,936,2,97,182
927,10000,1498,2,95,184
928,10000,1866,2,98,187
929,10000,2859,2,96,188
930,10000,1653,2,97,183
931,10000,3411,3,99,185
932,10000,3411,2,95,185
933,10000,2859,2,98,188
934,10000,813,2,96,189
935,10000,1498,2,97,184
936,10000,1915,2,99,186
937,10000,1915,2,95,186
938,10000,813,2,98,189
939,10000,909,2,96,190
940,10000,3411,2,97,185
941,10000,1866,2,99,187
942,10000,1866,2,95,187
943,10000,909,2,98,190
944,10000,1555,2,96,191
945,10000,1915,2,97,186
946,10000,2859,2,95,188
947,10000,2859,2,99,188
948,10000,2267,2,96,192
949,10000,1555,3,98,191
950,10000,1866,2,97,187
951,10000,813,2,99,189
952,10000,813,3,95,189
953,10000,1047,2,96,193
954,10000,2267,2,98,192
955,10000,2859,2,97,188
956,10000,909,2,99,190
957,10000,909,2,95,190
958,10000,5144,2,96,194
959,10000,1047,2,98,193
960,10000,1555,2,99,191
961,10000,813,3,97,189
962,10000,1555,2,95,191
963,10000,3665,2,96,195
964,10000,5144,2,98,194
965,10000,2267,2,99,192
966,10000,909,2,97,190
967,10000,2267,2,95,192
968,10000,2163,2,96,196
969,10000,3665,2,98,195
970,10000,1047,2,99,193
971,10000,1555,2,97,191
972,10000,1047,2,95,193
973,10000,1220,2,96,197
974,10000,2163,2,98,196
975,10000,5144,2,99,194
976,10000,2267,2,97,192
977,10000,5144,2,95,194
978,10000,861,2,96,198
979,10000,3665,2,99,195
980,10000,1220,3,98,197
981,10000,1047,2,97,193
982,10000,3665,2,95,195
983,10000,745,2,96,199
984,10000,2163,2,99,196
985,10000,861,2,98,198
986,10000,5144,2,97,194
987,10000,2163,2,95,196
988,10000,4753,2,96,200
989,10000,745,2,98,199
990,10000,1220,2,99,197
991,10000,3665,2,97,195
992,10000,1220,2,95,197
993,10000,2193,2,96,201
994,10000,4753,2,98,200
995,10000,861,2,99,198
996,10000,2163,2,97,196
997,10000,1641,3,96,202
998,10000,861,3,95,198
999,10000,2193,2,98,201
1000,10000,745,2,99,199
1001,10000,1220,2,97,197
1002,10000,2447,2,96,203
1003,10000,1641,2,98,202
1004,10000,745,3,95,199
1005,10000,4753,2,99,200
1006,10000,861,3,97,198
