,vertices,delta,runtime,deltafactor
368,10000,4451,2,460
369,10000,734,3,460
370,10000,1416,3,470
371,10000,1118,4,470
372,10000,5547,2,470
373,10000,4861,2,470
374,10000,2368,2,470
375,10000,2243,3,470
376,10000,2292,2,470
377,10000,2395,2,470
378,10000,4451,2,470
379,10000,734,4,470
380,10000,1416,3,480
381,10000,1118,3,480
382,10000,5547,2,480
383,10000,4861,2,480
384,10000,2368,3,480
385,10000,2243,2,480
386,10000,2292,4,480
387,10000,2395,2,480
388,10000,4451,2,480
389,10000,734,3,480
390,10000,1416,3,490
391,10000,1118,3,490
392,10000,5547,2,490
393,10000,4861,2,490
394,10000,2368,2,490
395,10000,2243,3,490
396,10000,2292,3,490
397,10000,2395,3,490
398,10000,4451,2,490
399,10000,734,4,490
400,10000,1416,3,500
401,10000,1118,3,500
402,10000,5547,3,500
403,10000,4861,3,500
404,10000,2368,3,500
405,10000,2243,3,500
406,10000,2292,2,500
407,10000,2395,3,500
408,10000,4451,3,500
409,10000,734,3,500
410,10000,1416,3,510
411,10000,1118,3,510
412,10000,5547,2,510
413,10000,4861,2,510
414,10000,2368,3,510
415,10000,2243,3,510
416,10000,2292,3,510
417,10000,2395,3,510
418,10000,4451,2,510
419,10000,734,4,510
420,10000,1416,3,520
421,10000,1118,3,520
422,10000,5547,2,520
423,10000,4861,2,520
424,10000,2368,2,520
425,10000,2243,3,520
426,10000,2292,3,520
427,10000,2395,3,520
428,10000,4451,3,520
429,10000,734,3,520
430,10000,1416,3,530
431,10000,1118,3,530
432,10000,5547,3,530
433,10000,4861,3,530
434,10000,2368,3,530
435,10000,2243,3,530
436,10000,2292,3,530
437,10000,2395,3,530
438,10000,4451,2,530
439,10000,734,4,530
440,10000,1416,3,540
441,10000,1118,3,540
442,10000,5547,2,540
443,10000,4861,3,540
444,10000,2368,2,540
445,10000,2243,3,540
446,10000,2292,3,540
447,10000,2395,2,540
448,10000,4451,2,540
449,10000,734,4,540
450,10000,1416,4,550
451,10000,1118,3,550
452,10000,5547,3,550
453,10000,4861,2,550
454,10000,2368,2,550
455,10000,2243,2,550
456,10000,2292,2,550
457,10000,2395,3,550
458,10000,4451,3,550
459,10000,734,5,550
460,10000,1416,3,560
461,10000,1118,4,560
462,10000,5547,2,560
463,10000,4861,2,560
464,10000,2368,3,560
465,10000,2243,3,560
466,10000,2292,3,560
467,10000,2395,3,560
468,10000,4451,2,560
469,10000,734,3,560
470,10000,1416,3,570
471,10000,1118,3,570
472,10000,5547,2,570
473,10000,4861,2,570
474,10000,2368,2,570
475,10000,2243,3,570
476,10000,2292,2,570
477,10000,2395,3,570
478,10000,4451,2,570
479,10000,734,4,570
480,10000,1416,3,580
481,10000,1118,3,580
482,10000,5547,2,580
483,10000,4861,2,580
484,10000,2368,3,580
485,10000,2243,3,580
486,10000,2292,3,580
487,10000,2395,3,580
488,10000,4451,3,580
489,10000,734,4,580
490,10000,1416,3,590
491,10000,1118,3,590
492,10000,5547,2,590
493,10000,4861,2,590
494,10000,2368,2,590
495,10000,2243,3,590
496,10000,2292,2,590
497,10000,2395,3,590
498,10000,4451,3,590
499,10000,734,3,590
500,10000,1416,3,600
501,10000,1118,3,600
502,10000,5547,3,600
503,10000,4861,3,600
504,10000,2368,3,600
505,10000,2243,2,600
