,vertices,delta,runtime,deltafactor,seed,attempt
301,100000,9238,3,1600,159,0
302,1000,0,0,1600,2,48
303,100000,9042,3,1600,160,0
304,100000,8930,3,1600,161,0
305,10000,0,0,1600,28,9
306,100000,9075,3,1600,162,0
307,100000,9269,4,1600,163,0
308,1000,0,0,1600,2,49
309,100000,9152,3,1600,164,0
310,10000,0,0,1600,28,10
311,100000,9263,3,1600,165,0
312,100000,9085,3,1600,166,0
313,100000,9054,3,1600,167,0
314,1000,0,0,1600,2,50
315,100000,5154,3,1600,168,0
316,10000,0,0,1600,28,11
317,100000,5192,4,1600,169,0
318,100000,5229,3,1600,170,0
319,100000,6640,3,1600,171,0
320,1000,0,0,1600,2,51
321,100000,6566,4,1600,172,0
322,10000,0,0,1600,28,12
323,100000,6492,3,1600,173,0
324,1000000,13493,4,1600,13,0
325,100000,6479,4,1600,174,0
326,100000,6468,3,1600,175,0
327,1000,0,0,1600,2,52
328,100000,6481,3,1600,176,0
329,10000,0,0,1600,28,13
330,100000,6475,4,1600,177,0
331,100000,6529,4,1600,178,0
332,1000,0,0,1600,2,53
333,100000,6434,3,1600,179,0
334,10000,0,0,1600,28,14
335,100000,6423,3,1600,180,0
336,100000,5193,3,1600,181,0
337,100000,4831,3,1600,182,0
338,1000,0,0,1600,2,54
339,100000,4838,3,1600,183,0
340,10000,0,0,1600,28,15
341,100000,4862,4,1600,184,0
342,100000,10040,4,1600,185,0
343,100000,9968,3,1600,186,0
344,1000,0,0,1600,2,55
345,100000,10050,3,1600,187,0
346,10000,0,0,1600,28,16
347,100000,9892,3,1600,188,0
348,100000,10081,3,1600,189,0
349,1000000,13624,4,1600,14,0
350,100000,10160,3,1600,190,0
351,1000,0,0,1600,2,56
352,100000,9868,3,1600,191,0
353,10000,0,0,1600,28,17
354,100000,9765,3,1600,192,0
355,100000,9895,3,1600,193,0
356,100000,9885,3,1600,194,0
357,1000,0,0,1600,2,57
358,100000,8861,3,1600,195,0
359,10000,0,0,1600,28,18
360,100000,9143,3,1600,196,0
361,100000,9192,3,1600,197,0
362,100000,9253,3,1600,198,0
363,1000,0,0,1600,2,58
364,100000,9181,3,1600,199,0
365,10000,0,0,1600,28,19
366,1000000,13642,3,1600,15,0
367,1000,0,0,1600,2,59
368,10000,0,0,1600,28,20
369,1000,0,0,1600,2,60
370,10000,0,0,1600,28,21
371,1000,0,0,1600,2,61
372,10000,0,0,1600,28,22
373,1000000,12239,3,1600,16,0
374,1000,0,0,1600,2,62
375,10000,0,0,1600,28,23
376,1000,0,0,1600,2,63
377,10000,0,0,1600,28,24
378,1000,0,0,1600,2,64
379,10000,0,0,1600,28,25
380,1000,0,0,1600,2,65
381,10000,0,0,1600,28,26
382,1000,0,0,1600,2,66
383,10000,0,0,1600,28,27
384,1000000,12249,5,1600,17,0
385,1000,0,0,1600,2,67
386,10000,0,0,1600,28,28
387,1000,0,0,1600,2,68
388,10000,0,0,1600,28,29
389,1000,0,0,1600,2,69
390,10000,0,0,1600,28,30
391,1000000,12236,3,1600,18,0
392,1000,0,0,1600,2,70
393,10000,0,0,1600,28,31
394,1000,0,0,1600,2,71
395,10000,0,0,1600,28,32
396,1000,0,0,1600,2,72
397,10000,0,0,1600,28,33
398,1000000,12339,3,1600,19,0
399,1000,0,0,1600,2,73
400,10000,0,0,1600,28,34
401,1000,0,0,1600,2,74
