,vertices,delta,runtime,deltafactor,seed,attempt
4072,1000000,13044,4,1600,159,0
4073,100000,9765,3,1600,192,6
4074,100000,9895,3,1600,193,6
4075,1000,0,0,1600,154,3
4076,1000,520,4,1600,155,3
4077,100000,9885,3,1600,194,6
4078,100000,8861,3,1600,195,6
4079,10000,0,0,1600,151,8
4080,10000,5061,3,1600,152,8
4081,10000,1361,4,1600,153,8
4082,100000,9143,3,1600,196,6
4083,100000,9192,3,1600,197,6
4084,1000,0,0,1600,156,3
4085,100000,9253,3,1600,198,6
4086,100000,9181,3,1600,199,6
4087,10000,0,0,1600,154,8
4088,10000,1184,4,1600,155,8
4089,100000,9592,3,1600,0,7
4090,100000,9546,3,1600,1,7
4091,1000,0,0,1600,157,3
4092,100000,9589,3,1600,2,7
4093,100000,8629,3,1600,3,7
4094,10000,0,0,1600,156,8
4095,10000,1124,4,1600,157,8
4096,10000,2347,4,1600,158,8
4097,10000,1837,4,1600,159,8
4098,100000,8172,4,1600,4,7
4099,1000,0,0,1600,158,3
4100,100000,8049,4,1600,5,7
4101,100000,8100,3,1600,6,7
4102,100000,8191,3,1600,7,7
4103,10000,0,0,1600,160,8
4104,10000,2321,4,1600,161,8
4105,10000,1038,5,1600,162,8
4106,1000000,13002,4,1600,160,0
4107,10000,2085,3,1600,163,8
4108,10000,4860,3,1600,164,8
4109,10000,1325,5,1600,165,8
4110,10000,1262,5,1600,166,8
4111,10000,5129,3,1600,167,8
4112,10000,2281,3,1600,168,8
4113,10000,3135,3,1600,169,8
4114,10000,2370,3,1600,170,8
4115,10000,2965,3,1600,171,8
4116,100000,8090,3,1600,8,7
4117,10000,2291,4,1600,172,8
4118,10000,3707,4,1600,173,8
4119,10000,3235,3,1600,174,8
4120,10000,2694,4,1600,175,8
4121,10000,1802,3,1600,176,8
4122,10000,2913,3,1600,177,8
4123,10000,1483,4,1600,178,8
4124,10000,3294,3,1600,179,8
4125,10000,4451,3,1600,180,8
4126,10000,3573,3,1600,181,8
4127,10000,936,8,1600,182,8
4128,10000,1653,4,1600,183,8
4129,10000,1498,3,1600,184,8
4130,10000,3411,3,1600,185,8
4131,10000,1915,4,1600,186,8
4132,10000,1866,4,1600,187,8
4133,10000,2859,3,1600,188,8
4134,1000,0,0,1600,159,3
4135,100000,4794,4,1600,9,7
4136,100000,4761,4,1600,10,7
4137,100000,4800,4,1600,11,7
4138,10000,0,0,1600,189,8
4139,10000,909,4,1600,190,8
4140,1000,0,0,1600,160,3
4141,1000,438,5,1600,161,3
4142,1000,464,4,1600,162,3
4143,100000,4848,3,1600,12,7
4144,100000,4838,4,1600,13,7
4145,100000,4830,4,1600,14,7
4146,100000,4798,4,1600,15,7
4147,10000,0,0,1600,191,8
4148,1000,0,0,1600,163,3
4149,10000,2267,4,1600,192,8
4150,10000,1047,5,1600,193,8
4151,10000,5144,3,1600,194,8
4152,10000,3665,4,1600,195,8
4153,10000,2163,3,1600,196,8
4154,10000,1220,6,1600,197,8
4155,100000,4754,3,1600,16,7
4156,100000,4720,3,1600,17,7
4157,100000,4785,4,1600,18,7
4158,1000000,13089,3,1600,161,0
4159,1000,0,0,1600,164,3
4160,1000,499,4,1600,165,3
4161,10000,0,0,1600,198,8
4162,100000,3721,4,1600,19,7
4163,100000,3609,3,1600,20,7
4164,100000,3588,3,1600,21,7
4165,1000,0,0,1600,166,3
4166,1000,390,6,1600,167,3
4167,10000,0,0,1600,199,8
4168,10000,1416,4,1600,0,9
4169,10000,1118,5,1600,1,9
4170,10000,5547,3,1600,2,9
4171,10000,4861,3,1600,3,9
4172,10000,2368,3,1600,4,9
4173,10000,2243,3,1600,5,9
4174,10000,2292,3,1600,6,9
4175,10000,2395,3,1600,7,9
4176,10000,4451,3,1600,8,9
4177,1000,0,0,1600,168,3
4178,10000,0,0,1600,9,9
4179,10000,1431,4,1600,10,9
4180,1000,0,0,1600,169,3
4181,1000000,13047,3,1600,162,0
4182,100000,0,0,1600,22,7
4183,10000,0,0,1600,11,9
4184,100000,11049,3,1600,23,7
4185,100000,11020,3,1600,24,7
4186,100000,11058,3,1600,25,7
4187,1000,0,0,1600,170,3
4188,100000,10914,3,1600,26,7
4189,10000,0,0,1600,12,9
4190,10000,2786,3,1600,13,9
4191,10000,2957,3,1600,14,9
4192,10000,1778,4,1600,15,9
4193,10000,1881,4,1600,16,9
4194,10000,2371,4,1600,17,9
4195,10000,3397,4,1600,18,9
4196,10000,1187,4,1600,19,9
4197,10000,1774,3,1600,20,9
4198,100000,10817,4,1600,27,7
4199,100000,10865,3,1600,28,7
4200,100000,10703,3,1600,29,7
4201,1000,0,0,1600,171,3
4202,100000,10708,3,1600,30,7
4203,10000,0,0,1600,21,9
4204,10000,1706,3,1600,22,9
4205,10000,1697,3,1600,23,9
4206,100000,10531,3,1600,31,7
4207,100000,10607,3,1600,32,7
4208,100000,7636,3,1600,33,7
4209,1000,0,0,1600,172,3
4210,100000,7571,3,1600,34,7
4211,10000,0,0,1600,24,9
4212,10000,2469,3,1600,25,9
4213,10000,1836,3,1600,26,9
4214,10000,2022,3,1600,27,9
4215,100000,7527,3,1600,35,7
4216,100000,6237,3,1600,36,7
4217,100000,6141,3,1600,37,7
4218,1000,0,0,1600,173,3
4219,1000000,12987,4,1600,163,0
4220,100000,6147,4,1600,38,7
4221,10000,0,0,1600,28,9
4222,10000,1702,4,1600,29,9
4223,10000,1138,5,1600,30,9
4224,10000,1338,4,1600,31,9
4225,10000,5388,4,1600,32,9
4226,10000,3239,3,1600,33,9
4227,10000,1545,4,1600,34,9
4228,10000,4297,3,1600,35,9
4229,10000,1241,5,1600,36,9
4230,100000,6133,3,1600,39,7
4231,100000,6161,3,1600,40,7
4232,1000,0,0,1600,174,3
4233,1000,758,5,1600,175,3
4234,100000,6205,3,1600,41,7
4235,100000,6075,3,1600,42,7
4236,10000,0,0,1600,37,9
4237,10000,1412,4,1600,38,9
4238,100000,6003,3,1600,43,7
4239,100000,4481,3,1600,44,7
4240,1000,0,0,1600,176,3
4241,100000,4526,3,1600,45,7
4242,100000,4159,4,1600,46,7
4243,10000,0,0,1600,39,9
4244,10000,3145,4,1600,40,9
4245,100000,4131,3,1600,47,7
4246,100000,4058,4,1600,48,7
4247,1000,0,0,1600,177,3
4248,100000,4057,3,1600,49,7
4249,10000,0,0,1600,41,9
4250,10000,1091,4,1600,42,9
4251,10000,4179,3,1600,43,9
4252,100000,4053,4,1600,50,7
4253,100000,5563,3,1600,51,7
4254,1000,0,0,1600,178,3
4255,100000,5643,3,1600,52,7
4256,1000000,12995,4,1600,164,0
4257,100000,5681,3,1600,53,7
4258,10000,0,0,1600,44,9
4259,10000,2911,3,1600,45,9
4260,10000,2969,3,1600,46,9
4261,100000,5690,3,1600,54,7
4262,100000,5635,3,1600,55,7
4263,1000,0,0,1600,179,3
4264,1000,909,3,1600,180,3
4265,100000,5613,3,1600,56,7
4266,100000,5600,3,1600,57,7
4267,10000,0,0,1600,47,9
4268,100000,7880,3,1600,58,7
4269,100000,7816,3,1600,59,7
4270,1000,0,0,1600,181,3
4271,100000,7774,3,1600,60,7
4272,100000,7937,3,1600,61,7
4273,10000,0,0,1600,48,9
4274,100000,7865,4,1600,62,7
4275,100000,7671,3,1600,63,7
4276,1000,0,0,1600,182,3
4277,1000,736,4,1600,183,3
4278,100000,7620,4,1600,64,7
4279,1000000,12972,3,1600,165,0
4280,10000,0,0,1600,49,9
4281,100000,7615,4,1600,65,7
4282,100000,7729,4,1600,66,7
4283,1000,0,0,1600,184,3
4284,1000,719,4,1600,185,3
4285,1000,508,4,1600,186,3
4286,100000,7766,3,1600,67,7
4287,100000,4895,3,1600,68,7
4288,10000,0,0,1600,50,9
4289,10000,2765,3,1600,51,9
4290,10000,1704,4,1600,52,9
4291,100000,4864,3,1600,69,7
4292,1000,0,0,1600,187,3
4293,100000,4837,4,1600,70,7
4294,1000,744,4,1600,188,3
4295,1000,495,4,1600,189,3
4296,100000,4731,4,1600,71,7
4297,10000,0,0,1600,53,9
4298,100000,4747,3,1600,72,7
4299,100000,4334,4,1600,73,7
4300,1000,0,0,1600,190,3
4301,100000,4356,3,1600,74,7
4302,100000,4367,4,1600,75,7
4303,10000,0,0,1600,54,9
4304,100000,4334,3,1600,76,7
4305,1000,0,0,1600,191,3
4306,1000,420,4,1600,192,3
4307,100000,4252,4,1600,77,7
4308,100000,5847,3,1600,78,7
4309,1000000,12931,4,1600,166,0
4310,100000,5905,3,1600,79,7
4311,10000,0,0,1600,55,9
4312,10000,2269,4,1600,56,9
4313,10000,2222,4,1600,57,9
4314,10000,1303,4,1600,58,9
4315,10000,1162,5,1600,59,9
4316,10000,3817,3,1600,60,9
4317,10000,1265,3,1600,61,9
4318,100000,5869,4,1600,80,7
4319,1000,0,0,1600,193,3
4320,100000,5951,3,1600,81,7
4321,10000000,0,0,1600,16,0
4322,100000,5918,3,1600,82,7
4323,10000,0,0,1600,62,9
4324,10000,1071,4,1600,63,9
4325,10000,1223,4,1600,64,9
4326,10000,3350,3,1600,65,9
4327,100000,5998,3,1600,83,7
4328,10000,2189,3,1600,66,9
4329,10000,4298,3,1600,67,9
4330,10000,972,5,1600,68,9
4331,10000,3074,4,1600,69,9
4332,10000,1808,5,1600,70,9
4333,10000,2017,4,1600,71,9
4334,10000,3355,4,1600,72,9
4335,100000,5969,3,1600,84,7
4336,1000,0,0,1600,194,3
4337,100000,7069,3,1600,85,7
4338,100000,7199,3,1600,86,7
4339,100000,7192,3,1600,87,7
4340,10000,0,0,1600,73,9
4341,100000,7300,3,1600,88,7
4342,1000,0,0,1600,195,3
4343,100000,7221,3,1600,89,7
4344,100000,7220,4,1600,90,7
4345,1000000,12970,3,1600,167,0
4346,10000,0,0,1600,74,9
4347,10000,1594,4,1600,75,9
4348,100000,7189,3,1600,91,7
4349,1000,0,0,1600,196,3
4350,100000,7089,3,1600,92,7
4351,100000,6831,4,1600,93,7
4352,100000,6843,3,1600,94,7
4353,10000,0,0,1600,76,9
4354,100000,5325,4,1600,95,7
4355,1000,0,0,1600,197,3
4356,100000,5211,4,1600,96,7
4357,100000,5171,4,1600,97,7
4358,10000,0,0,1600,77,9
4359,10000,1159,5,1600,78,9
4360,100000,5250,3,1600,98,7
4361,1000,0,0,1600,198,3
4362,100000,5238,3,1600,99,7
4363,100000,5212,3,1600,100,7
4364,100000,5233,4,1600,101,7
4365,10000,0,0,1600,79,9
4366,10000,2984,4,1600,80,9
4367,1000,0,0,1600,199,3
4368,1000,514,4,1600,0,4
4369,100000,22312,3,1600,102,7
4370,100000,22813,3,1600,103,7
4371,100000,22071,3,1600,104,7
4372,100000,22020,2,1600,105,7
4373,1000000,12972,4,1600,168,0
4374,10000,0,0,1600,81,9
4375,10000,1886,3,1600,82,9
4376,10000,1509,4,1600,83,9
4377,100000,21601,3,1600,106,7
4378,1000,0,0,1600,1,4
4379,100000,21758,3,1600,107,7
4380,100000,21797,3,1600,108,7
4381,100000,21551,3,1600,109,7
4382,10000,0,0,1600,84,9
4383,10000,2591,3,1600,85,9
4384,10000,1595,6,1600,86,9
4385,10000,3880,3,1600,87,9
4386,100000,21549,2,1600,110,7
4387,1000,0,0,1600,2,4
4388,100000,21408,2,1600,111,7
4389,100000,16738,3,1600,112,7
4390,100000,16680,3,1600,113,7
4391,10000,0,0,1600,88,9
4392,10000,2279,3,1600,89,9
4393,100000,7828,3,1600,114,7
4394,1000,0,0,1600,3,4
4395,100000,7797,4,1600,115,7
4396,100000,8020,3,1600,116,7
4397,100000,7953,3,1600,117,7
4398,10000,0,0,1600,90,9
4399,10000,1346,4,1600,91,9
4400,10000,1181,4,1600,92,9
4401,1000,0,0,1600,4,4
4402,1000,605,4,1600,5,4
4403,100000,8012,3,1600,118,7
4404,100000,6339,3,1600,119,7
4405,100000,3462,4,1600,120,7
4406,10000,0,0,1600,93,9
4407,10000,4312,3,1600,94,9
4408,1000,0,0,1600,6,4
4409,100000,4888,3,1600,121,7
4410,1000000,13038,4,1600,169,0
4411,100000,4851,4,1600,122,7
4412,100000,4850,3,1600,123,7
4413,10000,0,0,1600,95,9
4414,10000,1682,4,1600,96,9
4415,1000,0,0,1600,7,4
4416,100000,4792,3,1600,124,7
4417,100000,4750,4,1600,125,7
4418,100000,8183,3,1600,126,7
4419,10000,0,0,1600,97,9
4420,1000,0,0,1600,8,4
4421,1000,456,4,1600,9,4
4422,100000,8223,3,1600,127,7
4423,100000,8253,3,1600,128,7
4424,100000,8303,3,1600,129,7
4425,100000,8224,3,1600,130,7
4426,10000,0,0,1600,98,9
4427,10000,1703,3,1600,99,9
4428,10000,1306,4,1600,100,9
4429,10000,2061,4,1600,101,9
4430,1000,0,0,1600,10,4
4431,10000,3313,4,1600,102,9
4432,10000,2424,4,1600,103,9
4433,10000,1594,3,1600,104,9
4434,10000,2294,3,1600,105,9
4435,10000,3480,3,1600,106,9
4436,10000,1899,4,1600,107,9
4437,100000,8247,3,1600,131,7
4438,100000,8274,3,1600,132,7
4439,100000,12813,3,1600,133,7
4440,1000,0,0,1600,11,4
4441,1000,446,5,1600,12,4
4442,100000,12596,3,1600,134,7
4443,10000,0,0,1600,108,9
4444,10000,2807,3,1600,109,9
4445,100000,12600,3,1600,135,7
4446,100000,12806,3,1600,136,7
4447,1000000,13045,4,1600,170,0
4448,1000,0,0,1600,13,4
4449,1000,410,5,1600,14,4
4450,1000,474,4,1600,15,4
4451,10000,0,0,1600,110,9
4452,10000,7044,3,1600,111,9
4453,10000,1932,4,1600,112,9
4454,10000,6488,2,1600,113,9
4455,100000,12771,3,1600,137,7
4456,10000,983,5,1600,114,9
4457,10000,2679,3,1600,115,9
4458,100000,12864,3,1600,138,7
4459,100000,12836,3,1600,139,7
4460,1000,0,0,1600,16,4
4461,100000,12865,3,1600,140,7
4462,10000,0,0,1600,116,9
4463,100000,12855,3,1600,141,7
4464,100000,12976,3,1600,142,7
