,vertices,delta,runtime
528,251,16,4
529,251,19,4
530,261,18,4
531,261,17,5
532,261,21,3
533,261,17,4
534,261,18,4
535,271,18,4
536,271,18,4
537,271,20,5
538,271,19,5
539,271,18,4
540,281,18,4
541,281,20,5
542,281,21,4
543,281,19,5
544,281,19,4
545,291,18,4
546,291,20,5
547,291,22,3
548,291,18,4
549,291,20,4
550,301,18,4
551,301,20,6
552,301,21,4
553,301,19,4
554,301,20,4
555,311,18,4
556,311,20,4
557,311,20,5
558,311,19,4
559,311,20,4
560,321,17,6
561,321,19,4
562,321,19,5
563,321,19,4
564,321,19,4
565,331,16,4
566,331,18,3
567,331,20,4
568,331,19,4
569,331,19,4
570,341,17,4
571,341,18,3
572,341,19,5
573,341,19,4
574,341,19,4
575,351,17,4
576,351,19,5
577,351,18,4
578,351,19,4
579,351,19,4
580,361,17,6
581,361,20,4
582,361,18,5
583,361,19,4
584,361,19,4
585,371,16,4
586,371,20,4
587,371,18,4
588,371,19,4
589,371,19,4
590,381,16,5
591,381,20,4
592,381,18,4
593,381,17,3
594,381,19,6
595,391,17,4
596,391,19,4
597,391,17,3
598,391,17,4
599,391,20,4
600,401,17,4
601,401,20,4
602,401,19,3
603,401,16,5
604,401,20,4
605,411,18,4
606,411,20,4
607,411,21,4
608,411,16,4
609,411,20,4
610,421,18,3
611,421,20,4
612,421,20,4
613,421,17,4
614,421,21,4
615,431,18,4
616,431,20,4
617,431,20,5
618,431,17,4
619,431,21,4
620,441,18,4
621,441,19,4
622,441,20,4
623,441,18,4
624,441,21,4
625,451,18,4
626,451,19,5
627,451,20,3
628,451,19,4
629,451,20,4
630,461,19,4
631,461,19,4
632,461,20,5
633,461,20,5
634,461,20,4
635,471,21,4
636,471,20,4
637,471,22,4
638,471,20,4
639,471,19,5
640,481,21,5
641,481,20,4
642,481,22,4
643,481,19,4
644,481,19,4
645,491,21,4
646,491,20,5
647,491,22,4
648,491,18,4
649,491,20,5
650,501,20,5
651,501,20,4
652,501,22,4
653,501,18,4
654,501,20,4
655,511,20,4
656,511,20,4
657,511,20,4
658,511,18,4
659,511,21,4
660,521,21,5
661,521,20,4
662,521,20,5
663,521,19,3
664,521,20,5
665,531,21,4
666,531,19,4
667,531,20,5
668,531,20,4
669,531,21,4
670,541,21,5
671,541,20,4
672,541,19,5
673,541,21,5
674,541,21,4
675,551,21,4
676,551,19,4
677,551,19,4
678,551,21,6
679,551,21,4
680,561,21,5
681,561,19,5
682,561,19,4
683,561,19,4
684,561,21,5
685,571,21,4
686,571,19,6
687,571,19,4
688,571,18,5
689,571,20,5
690,581,20,4
691,581,20,4
692,581,19,4
693,581,18,5
694,581,20,4
695,591,19,8
696,591,20,4
697,591,19,4
698,591,19,5
699,591,19,5
700,601,19,5
701,601,20,4
702,601,19,4
703,601,19,7
704,601,20,5
705,611,19,4
706,611,20,5
707,611,20,5
708,611,19,5
709,611,21,5
710,621,19,4
711,621,19,4
712,621,19,5
713,621,19,4
714,621,21,4
715,631,18,4
716,631,18,4
717,631,18,5
718,631,19,4
719,631,22,3
720,641,19,5
721,641,18,4
722,641,18,5
723,641,20,4
724,641,22,3
725,651,19,4
726,651,18,5
727,651,18,5
728,651,20,4
729,651,21,6
730,661,19,4
731,661,18,5
732,661,19,5
733,661,22,3
734,661,21,3
735,671,19,4
736,671,18,4
737,671,19,5
738,671,21,3
739,671,21,4
740,681,19,6
741,681,18,4
742,681,19,5
743,681,21,5
744,681,21,4
745,691,19,6
746,691,19,4
747,691,19,4
748,691,20,5
749,691,21,4
750,701,19,4
751,701,19,5
752,701,19,5
753,701,20,4
754,701,21,4
755,711,19,4
756,711,19,6
757,711,19,5
758,711,20,4
759,711,21,4
760,721,19,5
761,721,19,4
762,721,20,4
763,721,20,4
764,721,21,6
765,731,19,5
766,731,19,5
767,731,19,5
768,731,20,4
769,731,21,5
770,741,19,4
771,741,19,5
772,741,19,4
773,741,19,4
774,741,21,4
775,751,19,4
776,751,18,4
777,751,20,4
778,751,19,5
779,751,21,4
780,761,19,4
781,761,18,5
782,761,20,4
783,761,19,5
784,761,21,5
785,771,19,4
786,771,18,5
787,771,20,4
788,771,19,4
789,771,21,5
790,781,19,6
791,781,18,5
792,781,20,5
793,781,19,5
794,781,21,5
795,791,19,4
796,791,18,5
797,791,21,4
798,791,20,5
799,791,21,4
800,801,19,5
801,801,19,4
802,801,21,6
803,801,20,4
804,801,21,5
805,811,19,4
806,811,19,4
807,811,21,4
808,811,20,4
809,811,22,5
810,821,19,4
811,821,19,5
812,821,22,4
813,821,20,4
814,821,22,4
815,831,20,4
816,831,19,4
817,831,22,4
818,831,20,3
819,831,22,4
820,841,19,4
821,841,19,4
822,841,22,5
823,841,20,4
824,841,23,5
825,851,20,5
826,851,19,5
827,851,22,5
828,851,20,4
829,851,23,4
830,861,20,5
831,861,19,4
832,861,22,5
833,861,20,5
834,861,23,4
835,871,20,5
836,871,19,4
837,871,23,5
838,871,20,4
839,871,23,5
840,881,19,5
841,881,19,4
842,881,24,4
843,881,20,5
844,881,23,5
845,891,20,4
846,891,19,5
847,891,23,4
848,891,20,5
849,891,22,5
850,901,20,5
851,901,19,4
852,901,23,4
853,901,19,5
854,901,21,4
855,911,20,4
856,911,19,4
857,911,23,4
858,911,20,5
859,911,22,4
860,921,20,5
861,921,19,5
862,921,23,4
863,921,20,4
864,921,23,4
865,931,19,4
866,931,18,4
867,931,23,4
868,931,20,5
869,931,22,4
870,941,19,5
871,941,18,5
872,941,23,4
873,941,20,5
874,941,22,4
875,951,20,4
876,951,19,4
877,951,23,4
878,951,21,4
879,951,21,5
880,961,20,4
881,961,19,4
882,961,23,5
883,961,21,5
884,961,21,5
885,971,20,4
886,971,19,5
887,971,23,5
888,971,21,4
889,971,21,4
890,981,19,4
891,981,19,5
892,981,22,4
893,981,21,4
894,981,21,5
895,991,20,5
896,991,19,4
897,991,22,4
898,991,21,5
899,991,21,5
900,1001,20,5
901,1001,19,5
902,1001,23,4
903,1001,21,4
904,1001,22,5
905,1101,20,4
906,1101,19,4
907,1101,23,4
