,vertices,delta,runtime,deltafactor,seed
520,10000,4861,2,99,3
521,10000,2243,2,95,5
522,10000,4861,2,97,3
523,10000,2292,2,96,6
524,10000,4861,2,98,3
525,10000,2368,2,99,4
526,10000,2368,2,97,4
527,10000,2292,2,95,6
528,10000,2368,2,98,4
529,10000,2395,2,96,7
530,10000,2243,2,99,5
531,10000,2243,2,97,5
532,10000,2395,2,95,7
533,10000,2243,2,98,5
534,10000,4451,2,96,8
535,10000,2292,2,99,6
536,10000,2292,2,97,6
537,10000,4451,2,95,8
538,10000,2292,2,98,6
539,10000,734,2,96,9
540,10000,2395,2,99,7
541,10000,2395,2,97,7
542,10000,1431,2,96,10
543,10000,734,2,95,9
544,10000,2395,2,98,7
545,10000,4451,2,99,8
546,10000,4451,2,97,8
547,10000,1431,2,95,10
548,10000,4451,2,98,8
549,10000,954,2,96,11
550,10000,734,2,99,9
551,10000,734,2,97,9
552,10000,954,2,95,11
553,10000,748,2,96,12
554,10000,734,3,98,9
555,10000,1431,2,99,10
556,10000,1431,2,97,10
557,10000,2786,2,96,13
558,10000,1431,2,98,10
559,10000,748,3,95,12
560,10000,954,2,97,11
561,10000,954,3,99,11
562,10000,2957,2,96,14
563,10000,2786,2,95,13
564,10000,954,3,98,11
565,10000,748,2,99,12
566,10000,748,3,97,12
567,10000,1778,2,96,15
568,10000,2957,2,95,14
569,10000,748,3,98,12
570,10000,2786,2,97,13
571,10000,2786,2,99,13
572,10000,1881,2,96,16
573,10000,1778,2,95,15
574,10000,2786,2,98,13
575,10000,2957,2,97,14
576,10000,2957,2,99,14
577,10000,2371,2,96,17
578,10000,1881,2,95,16
579,10000,1778,2,97,15
580,10000,1778,2,99,15
581,10000,3397,2,96,18
582,10000,2957,3,98,14
583,10000,2371,2,95,17
584,10000,1881,2,99,16
585,10000,1187,2,96,19
586,10000,1778,2,98,15
587,10000,1881,3,97,16
588,10000,3397,2,95,18
589,10000,2371,2,99,17
590,10000,1881,2,98,16
591,10000,1416,2,96,0
592,10000,2371,2,97,17
593,10000,1187,2,95,19
594,10000,3397,2,99,18
595,10000,2371,2,98,17
596,10000,1118,2,96,1
597,10000,3397,2,97,18
598,10000,1416,2,95,0
599,10000,1187,2,99,19
600,10000,3397,2,98,18
601,10000,5547,2,96,2
602,10000,1187,2,97,19
603,10000,1416,2,99,0
604,10000,1118,3,95,1
605,10000,1187,2,98,19
606,10000,1416,2,97,0
607,10000,4861,2,96,3
608,10000,1118,2,99,1
609,10000,5547,2,95,2
610,10000,1118,2,97,1
611,10000,2368,2,96,4
612,10000,1416,3,98,0
613,10000,5547,2,99,2
614,10000,4861,2,95,3
615,10000,5547,2,97,2
616,10000,2243,2,96,5
617,10000,1118,2,98,1
618,10000,4861,2,99,3
619,10000,2368,2,95,4
620,10000,4861,2,97,3
621,10000,2292,2,96,6
622,10000,5547,2,98,2
623,10000,2243,2,95,5
624,10000,2368,2,99,4
625,10000,2368,2,97,4
626,10000,2395,2,96,7
627,10000,4861,2,98,3
628,10000,2292,2,95,6
629,10000,2243,2,97,5
630,10000,2243,2,99,5
631,10000,4451,2,96,8
632,10000,2368,2,98,4
633,10000,2395,2,95,7
634,10000,2292,2,97,6
635,10000,2292,3,99,6
636,10000,734,2,96,9
637,10000,2243,2,98,5
638,10000,4451,2,95,8
639,10000,2395,2,97,7
640,10000,1431,2,96,10
641,10000,2395,2,99,7
642,10000,2292,2,98,6
643,10000,734,2,95,9
644,10000,4451,2,97,8
645,10000,954,2,96,11
646,10000,4451,2,99,8
647,10000,2395,2,98,7
648,10000,1431,2,95,10
649,10000,748,2,96,12
650,10000,734,3,97,9
651,10000,4451,2,98,8
652,10000,734,3,99,9
653,10000,954,2,95,11
654,10000,2786,2,96,13
655,10000,1431,2,97,10
656,10000,1431,2,99,10
657,10000,748,2,95,12
658,10000,734,3,98,9
659,10000,2957,2,96,14
660,10000,954,2,97,11
661,10000,954,2,99,11
662,10000,2786,2,95,13
663,10000,1431,2,98,10
664,10000,1778,2,96,15
665,10000,748,2,97,12
666,10000,748,2,99,12
667,10000,2957,2,95,14
668,10000,954,2,98,11
669,10000,2786,2,97,13
670,10000,1881,3,96,16
671,10000,1778,2,95,15
672,10000,2786,2,99,13
673,10000,748,2,98,12
674,10000,2957,2,97,14
675,10000,1881,2,95,16
676,10000,2957,2,99,14
677,10000,2371,2,96,17
678,10000,2786,2,98,13
679,10000,1778,2,97,15
680,10000,1778,2,99,15
681,10000,2371,2,95,17
682,10000,3397,2,96,18
683,10000,2957,2,98,14
684,10000,1881,2,99,16
685,10000,1187,2,96,19
686,10000,3397,2,95,18
687,10000,1881,2,97,16
688,10000,1778,2,98,15
689,10000,2371,2,99,17
690,10000,1416,2,96,0
691,10000,1187,2,95,19
692,10000,2371,2,97,17
693,10000,1881,2,98,16
694,10000,3397,2,99,18
695,10000,1118,2,96,1
696,10000,1416,2,95,0
697,10000,3397,2,97,18
698,10000,2371,2,98,17
699,10000,1187,2,99,19
700,10000,5547,2,96,2
701,10000,1187,2,97,19
702,10000,1118,2,95,1
703,10000,3397,2,98,18
704,10000,1416,2,99,0
705,10000,5547,2,95,2
706,10000,1416,2,97,0
707,10000,4861,2,96,3
708,10000,1187,2,98,19
709,10000,1118,2,99,1
710,10000,4861,2,95,3
711,10000,2368,2,96,4
712,10000,1118,2,97,1
713,10000,1416,2,98,0
714,10000,5547,2,99,2
715,10000,2243,2,96,5
716,10000,2368,2,95,4
717,10000,5547,2,97,2
718,10000,1118,2,98,1
719,10000,4861,2,99,3
720,10000,2243,2,95,5
721,10000,2292,2,96,6
722,10000,5547,2,98,2
723,10000,4861,2,97,3
724,10000,2368,2,99,4
725,10000,2292,2,95,6
726,10000,2395,2,96,7
727,10000,2368,2,97,4
728,10000,4861,2,98,3
729,10000,2243,2,99,5
730,10000,2395,2,95,7
731,10000,2243,2,97,5
732,10000,4451,2,96,8
733,10000,2368,2,98,4
734,10000,2292,2,99,6
735,10000,2292,2,97,6
736,10000,2243,2,98,5
737,10000,4451,2,95,8
738,10000,734,3,96,9
739,10000,2395,2,99,7
740,10000,2395,2,97,7
741,10000,2292,2,98,6
742,10000,734,2,95,9
743,10000,1431,2,96,10
744,10000,4451,2,99,8
745,10000,4451,2,97,8
746,10000,2395,2,98,7
747,10000,1431,2,95,10
748,10000,954,3,96,11
749,10000,734,2,97,9
750,10000,734,3,99,9
751,10000,4451,2,98,8
752,10000,954,2,95,11
753,10000,1431,2,97,10
754,10000,1431,2,99,10
755,10000,748,2,96,12
756,10000,734,2,98,9
757,10000,748,3,95,12
758,10000,954,2,97,11
759,10000,954,2,99,11
760,10000,2786,2,96,13
761,10000,1431,2,98,10
762,10000,2786,2,95,13
763,10000,748,2,99,12
764,10000,748,2,97,12
765,10000,2957,2,96,14
766,10000,954,2,98,11
767,10000,2786,2,99,13
768,10000,2957,2,95,14
769,10000,2786,2,97,13
770,10000,1778,3,96,15
771,10000,748,2,98,12
772,10000,1778,2,95,15
773,10000,2957,2,99,14
774,10000,2957,2,97,14
775,10000,1881,2,96,16
776,10000,2786,2,98,13
777,10000,1778,2,99,15
778,10000,1881,2,95,16
779,10000,1778,2,97,15
780,10000,2371,2,96,17
781,10000,2957,2,98,14
782,10000,2371,2,95,17
783,10000,1881,2,97,16
784,10000,1881,2,99,16
785,10000,3397,2,96,18
786,10000,1778,2,98,15
787,10000,3397,2,95,18
788,10000,2371,2,97,17
789,10000,2371,2,99,17
790,10000,1187,2,96,19
791,10000,1881,2,98,16
792,10000,3397,2,97,18
793,10000,1187,2,95,19
794,10000,3397,2,99,18
795,10000,1416,2,96,0
796,10000,1187,2,97,19
797,10000,1416,2,95,0
798,10000,1187,2,99,19
799,10000,2371,3,98,17
800,10000,1118,2,96,1
801,10000,1416,2,97,0
802,10000,1118,2,95,1
803,10000,1416,2,99,0
804,10000,3397,2,98,18
805,10000,5547,2,96,2
806,10000,1118,2,97,1
807,10000,1187,2,98,19
808,10000,5547,2,95,2
809,10000,4861,2,96,3
810,10000,1118,3,99,1
811,10000,5547,2,97,2
812,10000,1416,2,98,0
813,10000,4861,2,95,3
814,10000,2368,2,96,4
815,10000,5547,2,99,2
816,10000,4861,2,97,3
817,10000,1118,2,98,1
818,10000,2243,2,96,5
819,10000,2368,2,95,4
820,10000,4861,2,99,3
821,10000,2368,2,97,4
822,10000,5547,2,98,2
823,10000,2368,2,99,4
824,10000,2243,2,95,5
825,10000,2292,3,96,6
826,10000,2243,2,97,5
827,10000,4861,2,98,3
828,10000,2292,2,95,6
829,10000,2395,2,96,7
830,10000,2243,3,99,5
831,10000,2368,2,98,4
832,10000,2292,2,97,6
833,10000,2395,2,95,7
834,10000,4451,2,96,8
835,10000,2292,2,99,6
836,10000,2243,2,98,5
837,10000,2395,2,97,7
838,10000,4451,2,95,8
839,10000,734,2,96,9
840,10000,2395,2,99,7
841,10000,2292,2,98,6
842,10000,4451,2,97,8
843,10000,734,2,95,9
844,10000,1431,2,96,10
845,10000,4451,2,99,8
846,10000,954,2,96,11
847,10000,2395,3,98,7
848,10000,734,2,99,9
849,10000,734,3,97,9
850,10000,1431,3,95,10
851,10000,4451,2,98,8
852,10000,748,2,96,12
853,10000,1431,2,99,10
854,10000,1431,2,97,10
855,10000,954,2,95,11
856,10000,2786,2,96,13
857,10000,954,3,99,11
858,10000,734,3,98,9
859,10000,954,2,97,11
860,10000,748,3,95,12
861,10000,1431,2,98,10
862,10000,2957,2,96,14
863,10000,748,2,99,12
864,10000,748,3,97,12
865,10000,2786,2,95,13
866,10000,1778,2,96,15
867,10000,2786,2,99,13
868,10000,954,3,98,11
869,10000,2786,2,97,13
870,10000,2957,2,95,14
871,10000,2957,2,99,14
872,10000,1881,2,96,16
873,10000,748,2,98,12
874,10000,1778,2,95,15
875,10000,2957,2,97,14
876,10000,2371,2,96,17
877,10000,1778,2,99,15
878,10000,2786,2,98,13
879,10000,1881,2,95,16
880,10000,1778,2,97,15
881,10000,3397,2,96,18
882,10000,1881,2,99,16
883,10000,2957,2,98,14
884,10000,2371,2,95,17
885,10000,1881,2,97,16
886,10000,2371,2,99,17
887,10000,1778,2,98,15
888,10000,1187,3,96,19
889,10000,2371,2,97,17
890,10000,3397,2,95,18
891,10000,3397,2,99,18
892,10000,1881,2,98,16
893,10000,1416,2,96,0
894,10000,1187,2,95,19
895,10000,3397,2,97,18
896,10000,1187,2,99,19
897,10000,1118,2,96,1
898,10000,2371,2,98,17
899,10000,1416,2,95,0
900,10000,1187,2,97,19
901,10000,5547,2,96,2
902,10000,3397,2,98,18
903,10000,1416,2,99,0
904,10000,1118,2,95,1
905,10000,1416,2,97,0
906,10000,1187,2,98,19
907,10000,4861,2,96,3
908,10000,1118,2,99,1
909,10000,5547,2,95,2
910,10000,1118,2,97,1
911,10000,1416,2,98,0
912,10000,2368,2,96,4
913,10000,5547,2,99,2
914,10000,5547,2,97,2
915,10000,4861,3,95,3
916,10000,1118,2,98,1
917,10000,2243,2,96,5
918,10000,4861,2,99,3
919,10000,2368,2,95,4
920,10000,4861,2,97,3
921,10000,5547,2,98,2
922,10000,2292,2,96,6
923,10000,2368,2,99,4
924,10000,2243,2,95,5
925,10000,2368,2,97,4
926,10000,4861,2,98,3
927,10000,2243,2,99,5
928,10000,2395,2,96,7
929,10000,2243,2,97,5
930,10000,2292,2,95,6
931,10000,2368,2,98,4
932,10000,2292,2,99,6
933,10000,4451,2,96,8
934,10000,2292,2,97,6
935,10000,2395,2,95,7
936,10000,2243,2,98,5
937,10000,2395,2,99,7
938,10000,734,2,96,9
939,10000,4451,2,95,8
940,10000,2395,2,97,7
941,10000,2292,2,98,6
942,10000,4451,2,99,8
943,10000,1431,2,96,10
944,10000,734,2,95,9
945,10000,4451,2,97,8
946,10000,2395,2,98,7
947,10000,954,2,96,11
948,10000,734,3,99,9
949,10000,734,2,97,9
950,10000,1431,2,95,10
951,10000,4451,2,98,8
952,10000,748,2,96,12
953,10000,1431,2,99,10
954,10000,1431,2,97,10
955,10000,954,2,95,11
956,10000,734,2,98,9
957,10000,2786,2,96,13
958,10000,954,2,99,11
959,10000,748,2,95,12
960,10000,954,2,97,11
961,10000,1431,2,98,10
962,10000,2957,2,96,14
963,10000,748,2,99,12
964,10000,748,2,97,12
965,10000,2786,2,95,13
966,10000,1778,2,96,15
967,10000,954,3,98,11
968,10000,2786,2,99,13
969,10000,2786,2,97,13
970,10000,2957,2,95,14
971,10000,1881,2,96,16
972,10000,2957,2,99,14
973,10000,748,3,98,12
974,10000,2957,2,97,14
975,10000,1778,2,95,15
976,10000,2371,2,96,17
977,10000,1778,2,99,15
978,10000,2786,2,98,13
979,10000,1778,2,97,15
980,10000,1881,2,95,16
981,10000,3397,2,96,18
982,10000,1881,2,99,16
983,10000,2957,2,98,14
984,10000,1881,2,97,16
985,10000,2371,2,95,17
986,10000,1187,2,96,19
987,10000,2371,2,99,17
988,10000,1778,2,98,15
989,10000,2371,2,97,17
990,10000,1416,2,96,0
991,10000,3397,2,95,18
992,10000,3397,2,99,18
993,10000,1881,2,98,16
994,10000,3397,2,97,18
995,10000,1187,2,95,19
996,10000,1187,2,99,19
997,10000,2371,2,98,17
998,10000,1118,3,96,1
999,10000,1187,2,97,19
1000,10000,1416,2,95,0
1001,10000,1416,2,99,0
1002,10000,3397,2,98,18
1003,10000,5547,2,96,2
1004,10000,1416,2,97,0
